"Alexis, fils de Raphaël","Alexis, fils de Raphaël "
La peau blanche,La peau blanche - NÂ° 6
La funambule,La Funambule
"La Vie sucrée de Juliette Gagnon, tome 3 - Escarpins vertigineux et café frappé à la cannelle","La Vie sucrée de Juliette Gagnon, tome 3"
Les pensionnaires de La Patoche,Le vol de la Joue Ronde
Curieux de nature! - Tome 3 Les chenilles et les papillons,"Curieux de nature, volume 3"
La proie,La Proie
 En camping avec mon farfelu de grand-père ,En camping avec mon farfelu de grand-père
Plus petit que soi... - Nº 2,Plus petit que soi... /
Fièrement moustique!,FIEREMENT MOUSTIQUE 03
Dans l'ombre de Lady Jane,Dans l'ombre de Lady Jane 
L'araignée,PTS DEGOUTANTS ARAIGNEE
Dora la grande soeur! #10,Dora la grande soeur!
"Il était une fois à Québec, tome 1",Il était une fois à Québec - Tome 1 D'un siècle à l'autre
009- des ennuis a coup sur,Des ennuis à coup sûr
Joyeuses fêtes!,Caillou: Joyeuses Fêtes
Garfield,Garfield - NÂ° 55
L'assassiné de l'intérieur - Nº 138,L'assassiné de l'intérieur
Sous le regard des mouches, SOUS LE REGARD DES MOUCHES 
La renaissance,L'Ordre des Eldils - Tome 1
"9 ans, pas peur",9 ANS PAS PEUR
 Danseuse et Maman ,Danseuse & maman ou Le bal de la gratitude et du mal
Caillou -l'anniversaire,Caillou
Murmures d'eaux ,Murmures d’Eaux
Murmures d'eaux ,Murmures d'eaux
Murmures d’Eaux,Murmures d'eaux
"L'écho du fleuve, tome 1",L'Écho du fleuve - Tome 1 Le retour du geai bleu
Pas si bête,Pas si bête 
Léo coup-de-vent,Léo Coup-de-vent!
"Je vais à la convocation, à ma naissance",Je vais à la convocation à ma naissance
Garfield - NÂ° 35,Garfield
"921, Queen Mary Road ",921 Queen Mary Road
"921, Queen Mary Road ", 921 Queen Mary Road 
921 Queen Mary Road, 921 Queen Mary Road 
Le Garett : l'affaire Robin,Le Garett
Kushapatschikan,Kushapatshikan
Île interdite (L'),L'île interdite
"The nutcracker text by Lucie Papineau ; translated by Marina Orsini ; illustrated by Stéphane Jorisch ; narration, Marina Orsini ; music, Tchaïkovski, Alexandre Stanké [ensemble multi-supports] /",The nutcracker
Caillou: Dans le potager,Caillou dans le potager
La Force de vivre - Tome 4 Le courage d'Élisabeth,"La Force de vivre, tome 4"
Mon vieux,Mon vieux 
Vermillon,Vermillon - Tome 2
Vermillon,La terreur
Vermillon - Tome 2,La terreur
Garfield,Garfield - NÂ° 20
Zéline - Et si c'était vrai !,Zéline
L'Insolite coureur des bois ,L'insolite coureur des bois
Parmi l'invisible /,Parmi l'invisible
40 choses que je veux te dire,40 choses que je veux te dire 
VOYAGES DE PHILIBERT T02,Les voyages de Philibert Tanguay
VOYAGES DE PHILIBERT T02,Un djinn avec ça?
Les voyages de Philibert Tanguay,Un djinn avec ça?
"Chroniques et mystères des retrouvailles : Val d'Espoir, 1995",Chroniques et mystères des retrouvailles
Le pirate et le pingouin,PIRATE ET LE PINGOUIN
Un jardin au bout du monde et autres nouvelles,Un jardin au bout du monde et autres nouvelles 
À l'ombre des mots,Ã l'ombre des mots.
Nardeau chez Toubib Gatous,Nardeau chez Toubib Gatous - Nº 4
Félicité - Tome 1 (compact) Le pasteur et la brebis,Félicité
"La Fille dans le placard, tome 1",La fille dans le placard 
Une petite fin du monde, Une petite fin du monde
La Poussière du temps - Tome 4 (compact) Au bout de la route,"La Poussière du temps, tome 4"
CHEZ LES CHEVALIERS,Chez les chevaliers
Neuf bonnes nouvelles et une moins bonne,Neuf bonnes nouvelles et une moins bonne (à vous de trouver laquelle)
Visiteurs sur la planète bleue,Visiteurs sur la planete bleue
Monsieur John,Monsieur John 
Depeche-toi alexandra #8 moyen,"Collection Souriceau, [6-7 ans]"
Lune d'entre elles,Lune d'entre elles 
Duos 1.2 - Arielle et Thomas,Duos
Frontenac - Tome 2 L'embellie,Frontenac
Maîtresse des ombres,Maîtresse des ombres 
Cathryn - Tome 1 Avec un Y et pas de E,"Cathryn, volume 1"
Jouons avec Léon," Jouons avec Léon, tome 2"
"La porte, les mouches!","La porte, les mouches!  "
Mort suspecte au Yukon - Nº 75,Mort suspecte au Yukon
"Curieux de nature, volume 1",Curieux de nature! - Tome 1 Les oiseaux
GATEAU,Le gâteau 
La princesse beau dodo,La princesse Beau Dodo 
Que faire si des extraterrestres atterrissent sur votre tête,Que faire si des extraterrestres atterrissent sur votre tête - Nº 21
"Kimo, le dernier shaman",Le livre des secrets - Kimo - Tome 4
JESUS AU PAYS DES SOVIETS,Jésus au pays des Soviets
The Trash Pack - 1000 autocollants + 50 activités,The Trash pack - 1000 autocollants
Caillou va à l'école ,Caillou va à l'école
Les mondes de Noum,MONDES DE NOUM T02
Le Sentier des Roquemont - Tome 2 (compact) Le passage du flambeau,"Le Sentier des Roquemont, tome 2"
Dix petits hommes blancs,Dix petits hommes blancs 
 Les Ogres du Printemps ,Les ogres du printemps
 Les Ogres du Printemps ,OGRES DU PRINTEMPS
Les ogres du printemps,OGRES DU PRINTEMPS
"La nouvelle vie d'Antoine Collins, volume 1",La nouvelle vie d'Antoine Collins 
Lumignon et l'Étoile glacée,Lumignon et l'étoile glacée
 Tu peux toujours rester ,Tu peux toujours rester 
TACHES DE ROUSSEUR DE F,Les taches de rousseur de Fanny 
L'Abri,L'Abri 
La mission onirique - NÂ° 2,La mission onirique
La mission onirique - NÂ° 2,La zone
La mission onirique,La zone
La fiancée promise ,La Fiancée promise
Pocahontas - Nº 18,Pocahontas 
L'homme de la rivière,Homme de la riviere t1 -l'
Aknos,"Aknos ; suivi de Scirocco, d'Annapurna et d'Irpinia"
Les fleurs poussent aussi sur les trottoirs ,FLEURS POUSSENT AUSSI S
Auberge des morts subites dd0,L'Auberge des morts subites
Concours de patisserie des fees -le,Le concours de pâtisserie des fées
Max Mallette : le secret du mont Pinacle,Max Mallette
Garfield,"Garfield, poids lourd"
Histoires de filles sous le soleil, Histoires de filles sous le soleil 
C'est dans la poche! ,C'est dans la poche!
Bouchées de plaisir,Bouchées de plaisir 
Le veilleur,Le Veilleur 
N'oublie pas mon petit soulier, N'oublie pas mon petit soulier 
Avengers - Nº 7,Avengers
Montre-moi les animaux,Les animaux
RADISSON T03 COUREURS,Radisson
YEUX NE SONT PAS FAITS QUE PO,Les Yeux ne sont pas faits que pour pleurer
La petite morte,Ils ont bien raison de s'esclaffer en me montrant du doigt
Bacilles de tendresse = Bacilos de ternura,Bacilles de tendresse
Autoportrait au revolver ,Autoportrait au revolver
Renne au nez bleu -le -sapins de sucre,Le renne au nez bleu ; Les sapins de sucre
 L’Intime des sens féminins ,L'intime des sens féminins
 L’Intime des sens féminins ,L’Intime des sens féminins
L'intime des sens féminins,L’Intime des sens féminins
La nuit rouge,La nuit rouge [ressource électronique] /
Sherlock Holmes,Sherlock Holmes 
Malphas 3 - Ce qui se passe dans la cave reste dans la cave - Nº 185,Malphas
Les raconteurs Tome 2 La vie,Les Raconteurs tome II : La vie
Savannah Tome  4,Savannah - Tome 4
Sans retour - Nº 179,Sans retour /
Ti-Boutte,Ti-boutte
MAIS OÃ SOMMES-NOUS TRES,"Mais où sommes-nous, très exactement?"
Les éboueurs /,Les éboueurs
AU CINEMA AVEC PAPA,Au cinéma avec papa
Galoche,"Galoche : c'est parti, mon frisbee!"
La Nouvelle québécoise Essai,La nouvelle québécoise
Souvenirs de la banlieue,Souvenirs de la banlieue - tome 4
Hiver nucléaire, Hiver nucléaire 
Les maux d'Ambroise Bukowski,MAUX D'AMBROISE BUKOWSKI
Mémoires d'un quartier,"Francine, 1963-1965"
Formes et couleur,Formes et couleurs
AU LIT PRINCESSE EMILIE,"Au lit, princesse Émilie!"
24000 BAISERS,Vingt-quatre mille baisers
Le silence de la Cité - Nº 17,Le silence de la cité
Dracula,Dracula 
"Lundi, jour de peur - NÂ° 95","Lundi, jour de peur"
À deux,Ã deux
Reine,REINE
"Les chroniques de Chambly, tome 3",Les Chroniques de Chambly - Tome 3 Marie-Josèphe
"L'univers de Charles B., Tome 2",L'univers de Charles B.
La Marche des nuages - Tome 2 L'infidèle,La marche des nuages - L'infidèle (tome 2)
La Marche des nuages - Tome 2 L'infidèle,La marche des nuages tome 2: L'infidèle
La marche des nuages - L'infidèle (tome 2),La marche des nuages tome 2: L'infidèle
À mots découverts,Ã mots découverts
Le marchand de bêtises,MARCHAND DE BETISES
Mon grand livre d'aventures,Caillou - Mon grand livre d'aventures
Pio Tchi aux grands pieds,Pio Tchi aux grands pieds - Nº 83
Le coup de la girafe,Le coup de la girafe - NÂ° 72
Des Nouvelles du père,Des nouvelles du père
La théorie du drap contour ,La théorie du drap contour (version du 2016-03-18)
Tu seras mienne /,Tu seras mienne - Nº 180
"Anouchka, Bouboule et compagnie","Le Monde merveilleux d'Anouchka - Tome 4 Anouchka, Bouboule et compagnie"
Merci votre majesté,007-merci votre majeste
Portique -le,Le Portique
Marguerite prophète,"Marguerite, prophète"
La soupe de grand-papa,SOUPE DE GRAND-PAPA
L'Adieu au monde ,L'adieu au monde
ROSALIE ET VERDI COUL,Rosalie et Verdi
Roméo et Juliette,Roméo et Juliette ; Juliette et Roméo
VOLLEYBALL (LE),Le volleyball
Les improductifs,Les Improductifs 
Éden et le monde vert - tome 2,Éden et le monde vert
Erica,Érica
Bone - Tome 4,Bone
Lord John et la confrérie de l'épée,Lord John et la Confrérie de l'épée
Molly Galloway - Tome 2 Gloire aux vainqueurs,"Molly Galloway, volume 2"
Les Ailes du destin,Les ailes du destin
Gaïg - Tome 8,Gaïg
The gypsy queen,The Gypsy Queen
Papillons de l'ombre ,Papillons de l'ombre
Les chroniques de Chambly,Les Chroniques de Chambly - Tome 1 Marguerite
La forêt de papier,FORET DE PAPIER (LA)
 Les chaînes de Gorée ,Les chaînes de Gorée
"Hier, tu m'aimais encore - Nº 91","Hier, tu m'aimais encore"
Pirates,Pirates - Tome 1 L'île de la Licorne
Les leçons du professeur Zouf,LECONS DU PROFESSEUR ZOUF T2 -LA SANTE
La cité de verre,Les guerriers de verre
Yasmine v 1. La fête du mouton,Yasmine - La fête du mouton (tome 1)
Chère Laurette (coffret) ,Chère Laurette
Spécimens,Spécimens 
La vraie histoire de la série Les Lavigueur,La Vraie histoire de la série Les Lavigueur
Savannah - Tome 8,Savannah
Damné,Damné - Tome 4 Le baptême de Judas (compact)
"Psycho boys, volume 1",Psycho Boys - Tome 1 
Avengers - NÂ° 3,Avengers
Itinerante -l',L'Itinérante
Histoire de jouets 3,Histoire de jouets 3  - Cherche et trouve
Les marchandes d'espoir,Marchandes d'espoir -les
La tour du docteur Brinkley,TOUR DU DR.BRINKLEY
Les Super Sens à la rescousse !,Les Super Sens à la rescousse!
"Cupcakes et claquettes, volume 5",Cupcakes et claquettes - Tome 5 Sans flafla
Le livre des prophètes,Le Livre des Prophètes
PEPITO LE ROI DES MENT,"Pépito, le roi des menteurs"
Chut! ne dis rien!,Chut! Ne dis rien!
Les diables de Tasmanie - NÂ° 39,Les diables de Tasmanie
Alias agent 008 ,Alias agent 008
La maison du silence /,La maison du silence 
Confidences en trompe-l'oeil,Confidences en trompe-l'oeil (2010)
Les pensionnaires de La Patoche,L'invasion des poupons
Madame Tout-le-monde - Tome 4 Vent de folie,Madame Tout-le-Monde
La vengeance d’Amélie,La vengeance d'Amélie /
SLAM A TOI DE L'ECRITU,Slam à toi!
UN PAPA POUR POLKA,Un papa pour Polka
Minuit 13,L'Empress of Ireland - Nº 3
Où tu vas quand tu dors en marchant?,"Où tu vas quand tu dors en marchant ? Un théâtre, une ville"
Une mort comme rivière - Nº 145,Une mort comme rivière
 C'est encore bon ! ,C'est encore bon!
D'or et de poussière ,D'or et de poussière
Lygaya l'enfant esclave ,"Lygaya, l'enfant esclave"
Troix voix l'écho,Trois voix l'écho
L'Essai québécois depuis 1845 Étude et anthologie,L'essai québécois depuis 1845 : étude et anthologie
"Henri, Gaétane et les enfants","Henri, gaetane et les enfants"
Nous étions l'Histoire en marche,Nous etions l'hist. en marche [r]
L'envolée d'Antoine ,L'envolée d'Antoine
 Petite Ourse,"Petite Ourse, une amie pas comme les autres"
MEMOIRE ENSANGLANTEE,La mémoire ensanglantée
L'Ordre des Ornyx,L'Ordre des ornyx - Tome 1 - Nº 60
OVNI - Nº 96,Ovni
Le dernier vol du faucon,Dernier vol du faucon
Le cratère de feu - NÂ° 6,"Billy Stuart, le cratère de feu "
Garfield,Garfield - Nº 66
Les Folles années - Tome 4 Eugénie et l'enfant retrouvé,Les folles années
Pierre boucher grand serviteu,"Pierre Boucher, grand serviteur de la Nouvelle-France"
Le géant,Le Géant
Vente de garage chez ma mère - Nº 15,Vente de garage chez ma mère
L'Étoile noire,L'étoile noire
DEMONE ANGELIQUE (LA),La démone angélique 
Odie lache son fou!,Odie lâche son fou!
"Ici, là et ailleurs - Nº 109","Ici, là et ailleurs /"
Entretiens avec trois hommes d'état contemporains,"Entretiens avec trois hommes d'État contemporains Maurice Duplessis, Charles de Gaulle, Yitzhak Rabin"
"L'École du style - Tome 2 Instagram, talons plats et autres tracas","L'école du style, volume 2"
La nuit des albinos,La Nuit des albinos
La bataille du dragon,BATAILLE DU DRAGON 08
"Encore une fois, si vous permettez",Encore une fois si vous permettez
BAIN DEBORDE,Le bain déborde
(K),EPISODE K T04 MON SOLD
Aventure de camping -une,Une aventure de camping
Zombi blues,ZOMBI BLUES
Iron Man,Iron Man - NÂ° 3
Jack sparrow t1 -tempete a l'horizon,Tempête à l'horizon
"Lui, elle, moi, etc.","Lui, elle, moi, etc... - Nº 110"
Emo,EMO EPISODE 7 CETTE NUIT
Le coeur dans les talons,Coeur dans les talons
Les gestionnaires de l'apocalypse,Le bien des autres - 2 - NÂ° 73
Pinocchio,Pinocchio 
Le Talisman de Nergal - Tome 5 La cité d'Ishtar,"Le talisman de Nergal, volume 5"
Le beurre de Doudou,Le Beurre de Doudou
"Billy Stuart, dans l'oeil du cyclope",Dans l'oeil du cyclope
"Billy Stuart, dans l'oeil du cyclope",Dans l'œil du cyclope - NÂ° 4
Dans l'oeil du cyclope,Dans l'œil du cyclope - NÂ° 4
Victoria. Casting,Victoria
L'hiver du petit géant,"L'hiver du petit géant Gilles Tibo ; illustrations, Jean Bernèche [ressource électronique] /"
La maîtresse du soleil,La Maîtresse du Soleil 
Ville oasis,La Ville Oasis
J'admets que cela est éphémère,À vol de mots
À l'ombre de l'Orford,"À l'ombre de l'Orford ; suivi de, L'offrande aux vierges folles"
Priscilla en hologramme,Priscilla en hologramme /
Charles ab der Halden : portrait d'un inconnu,Charles Ab der Halden
Fils de sorcière ,Fils de sorcière
Thana,"Thana, tome 2"
Le cœur de Mattingly,Le coeur de Mattingly
JOS,Jos
"Tizoune, Montréal et les autres",Tizoune
Anges et vengeance ,Anges et vengeance
Jordane -coffre mysterieux en heritage,Jordane
 Les peaux cassées ,Les peaux cassées
Gaston-Le-Grognon,Gaston le grognon
Mon premier cherche et trouve,Minnie et ses amis
Succes de a a z t.1,Le Succès de A à Z
Coups de théâtre,Coups de theatre
Pépé Camisole et tous les matins d'été - NÂ° 46,Pépé Camisole et tous les matins d'été
La couleuvre,Couleuvre
Chat sauvage, Chat sauvage 
ALERTE A L'OURS -NE,Alerte à l'ours
Aqua tumulta,Aqua Tumulta
É-Den,É-Den - Tome 3
Les désordres amoureux ,Les désordres amoureux
Gros-Poil a disparu,GROS-POIL A DISPARU
Cet ete qui chantait dd0010,Cet été qui chantait
L'oiseau couché sur son aile,L'oiseau couché sur son aile : les chemins du silence
"Alex, le petit joueur de hockey","Alex, le petit joueur de hokey"
La théorie des géants,La théorie des géants - tome 2
Super Toutou contre les voleurs de fourrures,SUPER TOUTOU NO01 CONTRE
Mémoris,Mémoris 
Le voleur de sandwichs ,Le voleur de sandwichs
La misère des laissés-pour-compte - Nº 37,La misère des laissés-pour-compte 
Po-Paul et le nid-de-poule,PO-PAUL ET LE NID-DE-PO
Nicholas,"Nicolas, le fils du Nil"
Histoires de Noël,HISTOIRES DE NOEL
PSY MALGRE MOI EPISODE 1,Psy malgré moi
PSY MALGRE MOI EPISODE 1,De l'arrivée tonitruante dans une nouvelle poly
Psy malgré moi,De l'arrivée tonitruante dans une nouvelle poly
Una sonrisa apenas = Un sourire à la limite,Una sonrisa apenas
"La mystérieuse histoire de Tom Coeurvaillant, aventurier en herbe","La Mystérieuse histoire de Tom Coeurvaillant, aventurier en herbe "
Molly Galloway - Tome 1 Gloire aux vaincus,"Molly Galloway, volume 1"
Des yeux d'un autre regard = Ojos de otro mirar,Des yeux d'un autre regard
Ma Dame à la licorne,Ma dame à la licorne
Les maîtres du Pentacle - Tome 3,Les maîtres du Pentacle
Le monde de Khelia,Le monde de Khelia - Tome 3
La poésie mémoire de l'art,La poésie mémoire de l'art: anthologie
Mary l'Irlandaise,Mary l'Irlandaise Maryse Rouy [texte (gros caractères)] /
La femme qui fuit,FEMME QUI FUIT (LA)
"Gros-Nez, le quêteux","Gros-nez, le quêteux"
Félicité - Tome 4 (compact) Une vie nouvelle,Félicité
FALCON MINES,Falcon Mines
Zaq et moi - Tome 3,Zaq et moi tome 3 Meilleurs ennemis
Nouvelle bicyclette #11 moyen,"Collection Souriceau, [6-7 ans]"
J'aime Hydro (format epub), J'aime Hydro 
Les dragouilles complètement BD,Les dragouilles - Nº 2
Un drôle d'oiseau ,Un drôle d'oiseau
La naissance d'une nation,Thérèse
Miaou ,Miaou
Nouvelles Crépusculaires,Nouvelles crépusculaires
L'ombre de Mia,Ombre de mia -l'
Mort au générique - NÂ° 111,Mort au générique
CANINES ET PYJAMAS,Canines et pyjamas /
Frankenstein ,Frankenstein
L'invasion des hommes-rats - NÂ° 10,Luna
Cathedrale du stress -la,Hans Selye
Will Ghündee - La chute du souverain,Will Ghündee
Will Ghündee - La chute du souverain,Will GhÃ¼ndee - Tome 5
Will Ghündee,Will GhÃ¼ndee - Tome 5
Emo,EMO EPISODE 5 COMME UN F
Charge d'ames,Charge d'âmes
Fous furieux,Fou furieux
Docteur La peluche,"Au bain, Petite Pêche !"
L'insoumise,L'insoumise - Tome 3
Renaître par l'imaginaire,Renaître par l'imaginaire : un outil de conscience
Le Livre des livres,Livre des livres
Dépareillés /,Dépareillés
La fille du Prado,La Fille du Prado 
Félicité (coffret) ,Félicité
À minuit. Changez la date,"À minuit, changez la date"
La Conspiration du siècle ,La conspiration du siècle
Une fée aux lames d'argent,Une fée aux lames d'argent 
Les combats de Ti-Cœur ,Les combats de Ti-Cœur
L'Année sans été - Tome 3 L'hivernant du Gouffre,"L'année sans été, tome 3"
En territoire adverse,En territoire adverse -Nº 37
Où vont les guêpes quand il fait froid? ,Où vont les guêpes quand il fait froid ?
Mémoires de réincarnés,Mémoires de réincarnés : Bélios
Le Coeur de Gilles,Coeur gilles
Le grand voyage du Père Noël,GD VOYAGE DU PERE NOEL
La Poussière du temps - Tome 3 (compact) Sur le boulevard,La poussière du temps
PERE NOEL NE REPOND PLU,Le père Noël ne répond plus
Umberto Bruni : l'homme et son art,Umberto Bruni - L'homme et son art
Caillou,At grandma and grandpa's
DOUCE DETRESSE,Douce détresse /
Luna,Luna - Tome 12
Les tigres ,Les tigres - NÂ° 46
Femme avec caméra,Femme avec caméra 
UN OURS INVITE,Un ours invite 
Bone - Tome 8,Bone
Princesse,Coffret - Disney princesse
Où est Tat Tsang?,OU EST TAT TSANG
Sur le rythme - Tome 2 Danse illimitée,"Sur le rythme, volume 2"
Mathilde et Aurélia - Nº 1,Mathilde et Aurélia
Italie et autres voyages,"Italie et autres voyages ; suivi de, Stances à Leila et de Hermès"
La fabrique de citrouilles,FABRIQUE DE CITROUILLES
"En route, Polka!",EN ROUTE POLKA
Princesse Blondine - Nº 141,Princesse Blondine /
"Mademoiselle Moon, gouvernante de chiens ",MADEMOISELLE MOON GOUVER
Selfies et sushis - Tome 2 Partout dans ma tête,"Selfies et sushis, volume 2"
La marque de Tétraskèle,La marque de Tétraskèle - Tome 1 - Les filles du destin
"Le cabinet du Docteur K ; et, autres histoires d'amours contrariées",Le cabinet du Docteur K
"Le cabinet du Docteur K ; et, autres histoires d'amours contrariées",CABINET DU DOCTEUR K
Le cabinet du Docteur K,CABINET DU DOCTEUR K
Les Gardiens de la lumière - Tome 4 Le paradis sur terre,"Les gardiens de la lumière, tome 4"
Gabrielle Roy - Une histoire à peine inventée ,Gabrielle Roy : une histoire à peine inventée
Gabrielle Roy - Une histoire à peine inventée ,Gabrielle Roy
Gabrielle Roy : une histoire à peine inventée,Gabrielle Roy
"Jeanne Barret : première femme ayant accompli, au XVIIIe siècle, le tour du monde déguisée en homme",Jeanne Barret
L'autre face des étoiles,L'autre face des étoiles ; précédé de haïkus divers
À la recherche du bout du monde,À la recherche du bout du monde 
Poèmes du wah-wah,POEMES DU WAH-WAH
Les avions,Les Avions
 Mary Travers,"Mary Travers, Madame Bolduc"
Juliette en direct,JULIETTE T05 MYST.GRENIER
Le zoo de Yayaho,ZOO DE YAYAHO (LE)
"Les Fées-du-phénix, volume 1",Les Fées-du-phénix - Tome 1 La tempête de Ceithir
À l'est de minuit,Ã l'est de minuit
 Douze bêtes aux chemises de l'homme ,Douze bêtes aux chemises de l'homme
Damné,Damné - Tome 2 Le fardeau de Lucifer
Sommes-nous arrivés?,Sommes-nous arrives?
Les sabots rouges,SABOTS ROUGES
Coeur de slush ,Cœur de slush
Lit double,"Lit double, tome 2"
BANDE DES BALAFRES (LA),La bande des balafrés /
Ces enfants de ma vie,Ces enfants de ma vie 
MONSTRE DU LAC (LE),Le monstre du lac
Un rêve indien au goût de miel,Un rêve américain au goût de miel
Autopsie d'une femme plate (version du 2017-04-05) , Autopsie d'une femme plate 
"Ma vie (racontée malgré moi), par Henry K. Larsen ",MA VIE RACONTÉE MALGRÉ MO
La playa de los sueños y otros relatos de exilio,La playa de los sueños
"Mes plus beaux billets, tome 2 - Pour un peu d'espoir",Pour un peu d'espoir
Mauvaise rencontre - NÂ° 149,Mauvaise rencontre
Le vrai de vrai journal de ma vie,Le vrai de vrai journal de ma vie!
Coffret - Les bagnoles,Les bagnoles
Super Champion,Super champion
On dirait que je vous ai manqué,On dirait que je vous ai manqué L'épopée de Camillien Houde
Les champions de l'amour,Les Champions de l'amour
Morvette et Poisson d'or,Morvette et Poisson d'or et autres contes
Caillou,Caillou : potty time
